parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
13000000	6500	2000	13	1	4	comm:scatter	3.83	3834.66	0.0	1.0	7.72
13000000	6500	2000	13	1	4	comp:drift	5.49	2.75	18.55	2000.0	11.27
13000000	6500	2000	13	1	4	comp:histo	10.0	5.0	4.36	2000.0	20.37
13000000	6500	2000	13	1	4	comp:kick	23.72	11.86	5.61	2000.0	48.33
13000000	6500	2000	13	1	4	Other	0.24	238.35	0.0	1.0	0.49
13000000	6500	2000	13	1	4	total_time	49.31	49308.62	0.0	1.0	100.0
15000000	7500	2000	15	1	4	comm:bcast	0.35	0.06	22.91	6001.0	0.82
15000000	7500	2000	15	1	4	comm:gather	0.13	126.84	0.0	1.0	0.29
15000000	7500	2000	15	1	4	comm:histo_extra	1.67	0.84	126.18	2000.0	3.87
15000000	7500	2000	15	1	4	comm:recv_task	1.2	0.1	1333.33	12004.0	2.77
15000000	7500	2000	15	1	4	comm:scatter	0.42	416.97	0.0	1.0	0.96
15000000	7500	2000	15	1	4	comp:drift	5.77	2.89	16.68	2000.0	13.37
15000000	7500	2000	15	1	4	comp:histo	9.92	4.96	3.42	2000.0	22.98
15000000	7500	2000	15	1	4	comp:kick	23.49	11.75	6.17	2000.0	54.4
15000000	7500	2000	15	1	4	Other	0.23	229.71	0.0	1.0	0.53
15000000	7500	2000	15	1	4	total_time	43.19	43185.96	0.0	1.0	100.0
17000000	8500	2000	17	1	4	comm:bcast	0.36	0.06	30.14	6001.0	0.72
17000000	8500	2000	17	1	4	comm:gather	0.2	198.86	0.0	1.0	0.39
17000000	8500	2000	17	1	4	comm:histo_extra	1.77	0.89	167.43	2000.0	3.46
17000000	8500	2000	17	1	4	comm:recv_task	1.06	0.09	1780.12	12004.0	2.13
17000000	8500	2000	17	1	4	comm:scatter	5.55	5554.28	0.0	1.0	10.59
17000000	8500	2000	17	1	4	comp:drift	6.66	3.33	21.05	2000.0	13.12
17000000	8500	2000	17	1	4	comp:histo	10.01	5.0	2.82	2000.0	19.74
17000000	8500	2000	17	1	4	comp:kick	25.02	12.51	5.54	2000.0	49.36
17000000	8500	2000	17	1	4	Other	0.25	252.1	0.0	1.0	0.5
17000000	8500	2000	17	1	4	total_time	50.88	50883.75	0.0	1.0	100.0
19000000	9500	2000	19	1	4	comm:bcast	0.38	0.06	24.62	6001.0	0.75
19000000	9500	2000	19	1	4	comm:gather	0.22	219.67	0.0	1.0	0.44
19000000	9500	2000	19	1	4	comm:histo_extra	1.75	0.87	169.81	2000.0	3.45
19000000	9500	2000	19	1	4	comm:recv_task	0.87	0.07	1969.11	12004.0	1.74
19000000	9500	2000	19	1	4	comm:scatter	5.17	5169.07	0.0	1.0	9.9
19000000	9500	2000	19	1	4	comp:drift	7.57	3.79	10.91	2000.0	15.03
19000000	9500	2000	19	1	4	comp:histo	10.11	5.05	2.95	2000.0	20.07
19000000	9500	2000	19	1	4	comp:kick	24.21	12.11	6.49	2000.0	48.11
19000000	9500	2000	19	1	4	Other	0.26	257.83	0.0	1.0	0.51
19000000	9500	2000	19	1	4	total_time	50.53	50529.16	0.0	1.0	100.0
21000000	10500	2000	21	1	4	comm:bcast	0.35	0.06	25.91	6001.0	0.77
21000000	10500	2000	21	1	4	comm:gather	0.17	173.77	0.0	1.0	0.39
21000000	10500	2000	21	1	4	comm:histo_extra	1.53	0.76	154.51	2000.0	3.43
21000000	10500	2000	21	1	4	comm:recv_task	1.04	0.09	1477.13	12004.0	2.37
21000000	10500	2000	21	1	4	comm:scatter	5.37	5374.62	0.0	1.0	11.38
21000000	10500	2000	21	1	4	comp:drift	5.52	2.76	3.7	2000.0	12.19
21000000	10500	2000	21	1	4	comp:histo	9.33	4.67	3.51	2000.0	20.64
21000000	10500	2000	21	1	4	comp:kick	21.86	10.93	6.3	2000.0	48.34
21000000	10500	2000	21	1	4	Other	0.22	224.84	0.0	1.0	0.5
21000000	10500	2000	21	1	4	total_time	45.4	45399.87	0.0	1.0	100.0
23000000	11500	2000	23	1	4	comm:bcast	0.37	0.06	24.78	6001.0	0.75
23000000	11500	2000	23	1	4	comm:gather	0.29	288.12	0.0	1.0	0.59
23000000	11500	2000	23	1	4	comm:histo_extra	1.82	0.91	139.7	2000.0	3.66
23000000	11500	2000	23	1	4	comm:recv_task	1.31	0.11	2826.27	12004.0	2.62
23000000	11500	2000	23	1	4	comm:scatter	3.44	3443.61	0.0	1.0	6.8
23000000	11500	2000	23	1	4	comp:drift	7.15	3.58	12.22	2000.0	14.62
23000000	11500	2000	23	1	4	comp:histo	10.1	5.05	3.05	2000.0	20.6
23000000	11500	2000	23	1	4	comp:kick	24.43	12.22	6.63	2000.0	49.86
23000000	11500	2000	23	1	4	Other	0.25	249.57	0.0	1.0	0.51
23000000	11500	2000	23	1	4	total_time	49.17	49168.43	0.0	1.0	100.0
25000000	12500	2000	25	1	4	comm:bcast	0.41	0.07	33.83	6001.0	0.81
25000000	12500	2000	25	1	4	comm:gather	0.29	294.83	0.0	1.0	0.58
25000000	12500	2000	25	1	4	comm:histo_extra	2.9	1.45	95.77	2000.0	5.66
25000000	12500	2000	25	1	4	comm:recv_task	2.3	0.19	2412.09	12004.0	4.47
25000000	12500	2000	25	1	4	comm:scatter	3.32	3322.12	0.0	1.0	6.26
25000000	12500	2000	25	1	4	comp:drift	6.76	3.38	25.46	2000.0	13.35
25000000	12500	2000	25	1	4	comp:histo	10.19	5.09	4.99	2000.0	20.09
25000000	12500	2000	25	1	4	comp:kick	24.45	12.23	6.59	2000.0	48.23
25000000	12500	2000	25	1	4	Other	0.27	268.69	0.0	1.0	0.53
25000000	12500	2000	25	1	4	total_time	50.9	50902.87	0.0	1.0	100.0
27000000	13500	2000	27	1	4	comm:bcast	0.35	0.06	26.24	6001.0	0.66
27000000	13500	2000	27	1	4	comm:gather	0.23	228.34	0.0	1.0	0.43
27000000	13500	2000	27	1	4	comm:histo_extra	1.77	0.88	185.0	2000.0	3.34
27000000	13500	2000	27	1	4	comm:recv_task	0.62	0.05	2191.12	12004.0	1.18
27000000	13500	2000	27	1	4	comm:scatter	5.53	5531.37	0.0	1.0	10.32
27000000	13500	2000	27	1	4	comp:drift	8.51	4.26	11.01	2000.0	16.15
27000000	13500	2000	27	1	4	comp:histo	10.12	5.06	3.25	2000.0	19.19
27000000	13500	2000	27	1	4	comp:kick	25.46	12.73	7.0	2000.0	48.28
27000000	13500	2000	27	1	4	Other	0.24	240.19	0.0	1.0	0.46
27000000	13500	2000	27	1	4	total_time	52.83	52825.7	0.0	1.0	100.0
29000000	14500	2000	29	1	4	comm:bcast	0.39	0.07	30.26	6001.0	0.62
29000000	14500	2000	29	1	4	comm:gather	0.33	333.84	0.0	1.0	0.53
29000000	14500	2000	29	1	4	comm:histo_extra	10.29	5.15	73.71	2000.0	16.35
29000000	14500	2000	29	1	4	comm:recv_task	3.17	0.26	1131.56	12004.0	5.04
29000000	14500	2000	29	1	4	comm:scatter	6.73	6731.54	0.0	1.0	10.55
29000000	14500	2000	29	1	4	comp:drift	6.63	3.32	17.63	2000.0	10.51
29000000	14500	2000	29	1	4	comp:histo	10.6	5.3	10.5	2000.0	16.78
29000000	14500	2000	29	1	4	comp:kick	24.73	12.36	8.21	2000.0	39.22
29000000	14500	2000	29	1	4	Other	0.25	247.52	0.0	1.0	0.39
29000000	14500	2000	29	1	4	total_time	63.13	63129.05	0.0	1.0	100.0
31000000	15500	2000	31	1	4	comm:bcast	0.46	0.08	40.77	6001.0	0.74
31000000	15500	2000	31	1	4	comm:gather	0.4	402.54	0.0	1.0	0.65
31000000	15500	2000	31	1	4	comm:histo_extra	12.26	6.13	32.21	2000.0	19.68
31000000	15500	2000	31	1	4	comm:recv_task	6.05	0.5	527.58	12004.0	9.72
31000000	15500	2000	31	1	4	comm:scatter	4.82	4819.54	0.0	1.0	7.64
31000000	15500	2000	31	1	4	comp:drift	5.51	2.75	9.39	2000.0	8.86
31000000	15500	2000	31	1	4	comp:histo	10.06	5.03	4.32	2000.0	16.14
31000000	15500	2000	31	1	4	comp:kick	22.53	11.27	7.14	2000.0	36.17
31000000	15500	2000	31	1	4	Other	0.25	245.97	0.0	1.0	0.4
31000000	15500	2000	31	1	4	total_time	62.35	62349.77	0.0	1.0	100.0
33000000	16500	2000	33	1	4	comm:bcast	0.39	0.07	31.16	6001.0	0.6
33000000	16500	2000	33	1	4	comm:gather	0.39	387.35	0.0	1.0	0.59
33000000	16500	2000	33	1	4	comm:histo_extra	11.63	5.82	60.29	2000.0	17.58
33000000	16500	2000	33	1	4	comm:recv_task	3.44	0.29	837.01	12004.0	5.22
33000000	16500	2000	33	1	4	comm:scatter	7.29	7285.7	0.0	1.0	10.92
33000000	16500	2000	33	1	4	comp:drift	6.99	3.5	16.93	2000.0	10.55
33000000	16500	2000	33	1	4	comp:histo	10.7	5.35	11.87	2000.0	16.14
33000000	16500	2000	33	1	4	comp:kick	25.18	12.59	9.86	2000.0	38.02
33000000	16500	2000	33	1	4	Other	0.25	249.87	0.0	1.0	0.38
33000000	16500	2000	33	1	4	total_time	66.26	66263.66	0.0	1.0	100.0
35000000	17500	2000	35	1	4	comm:bcast	0.5	0.08	50.54	6001.0	0.81
35000000	17500	2000	35	1	4	comm:gather	0.44	443.01	0.0	1.0	0.71
35000000	17500	2000	35	1	4	comm:histo_extra	9.72	4.86	51.1	2000.0	15.58
35000000	17500	2000	35	1	4	comm:recv_task	4.42	0.37	790.08	12004.0	7.08
35000000	17500	2000	35	1	4	comm:scatter	5.05	5052.07	0.0	1.0	8.05
35000000	17500	2000	35	1	4	comp:drift	7.14	3.57	6.22	2000.0	11.44
35000000	17500	2000	35	1	4	comp:histo	10.46	5.23	2.86	2000.0	16.75
35000000	17500	2000	35	1	4	comp:kick	24.45	12.23	7.72	2000.0	39.19
35000000	17500	2000	35	1	4	Other	0.25	245.4	0.0	1.0	0.39
35000000	17500	2000	35	1	4	total_time	62.44	62438.29	0.0	1.0	100.0
37000000	18500	2000	37	1	4	comm:bcast	0.81	0.13	44.51	6001.0	0.91
37000000	18500	2000	37	1	4	comm:gather	0.62	618.15	0.0	1.0	0.69
37000000	18500	2000	37	1	4	comm:histo_extra	15.8	7.9	53.0	2000.0	17.69
37000000	18500	2000	37	1	4	comm:recv_task	14.49	1.21	806.5	12004.0	16.22
37000000	18500	2000	37	1	4	comm:scatter	1.41	1411.29	0.0	1.0	1.58
37000000	18500	2000	37	1	4	comp:drift	10.27	5.13	24.87	2000.0	11.52
37000000	18500	2000	37	1	4	comp:histo	15.07	7.54	8.51	2000.0	16.9
