parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
20000000	10000	2000	15	1	2	comm:recv_task	0.52	0.04	2038.63	12004.0	0.86
20000000	10000	2000	15	1	2	comm:scatter	0.39	385.24	0.0	1.0	0.64
20000000	10000	2000	15	1	2	comp:drift	10.28	5.14	5.45	2000.0	17.08
20000000	10000	2000	15	1	2	comp:histo	13.31	6.65	2.36	2000.0	22.1
20000000	10000	2000	15	1	2	comp:kick	33.29	16.64	5.58	2000.0	55.28
20000000	10000	2000	15	1	2	Other	0.23	232.43	0.0	1.0	0.39
20000000	10000	2000	15	1	2	total_time	60.21	60213.83	0.0	1.0	100.0
20000000	10000	2000	17	1	2	comm:bcast	0.44	0.07	29.38	6001.0	0.63
20000000	10000	2000	17	1	2	comm:gather	0.25	249.16	0.0	1.0	0.36
20000000	10000	2000	17	1	2	comm:histo_extra	15.22	7.61	34.32	2000.0	21.79
20000000	10000	2000	17	1	2	comm:recv_task	6.52	0.54	331.9	12004.0	9.34
20000000	10000	2000	17	1	2	comm:scatter	0.44	437.82	0.0	1.0	0.63
20000000	10000	2000	17	1	2	comp:drift	6.48	3.24	15.52	2000.0	9.28
20000000	10000	2000	17	1	2	comp:histo	12.73	6.36	10.93	2000.0	18.22
20000000	10000	2000	17	1	2	comp:kick	27.54	13.77	9.13	2000.0	39.41
20000000	10000	2000	17	1	2	Other	0.25	253.56	0.0	1.0	0.36
20000000	10000	2000	17	1	2	total_time	69.88	69876.57	0.0	1.0	100.0
20000000	10000	2000	19	1	2	comm:bcast	0.39	0.06	31.21	6001.0	0.72
20000000	10000	2000	19	1	2	comm:gather	0.23	232.72	0.0	1.0	0.43
20000000	10000	2000	19	1	2	comm:histo_extra	7.37	3.68	114.33	2000.0	13.62
20000000	10000	2000	19	1	2	comm:recv_task	3.58	0.3	564.33	12004.0	6.61
20000000	10000	2000	19	1	2	comm:scatter	0.42	416.89	0.0	1.0	0.77
20000000	10000	2000	19	1	2	comp:drift	6.26	3.13	14.88	2000.0	11.57
20000000	10000	2000	19	1	2	comp:histo	10.84	5.42	15.14	2000.0	20.03
20000000	10000	2000	19	1	2	comp:kick	24.78	12.39	10.19	2000.0	45.79
20000000	10000	2000	19	1	2	Other	0.25	251.16	0.0	1.0	0.46
20000000	10000	2000	19	1	2	total_time	54.12	54116.83	0.0	1.0	100.0
20000000	10000	2000	21	1	2	comm:bcast	0.31	0.05	25.26	6001.0	0.68
20000000	10000	2000	21	1	2	comm:gather	0.21	206.53	0.0	1.0	0.45
20000000	10000	2000	21	1	2	comm:histo_extra	1.83	0.91	197.79	2000.0	3.99
20000000	10000	2000	21	1	2	comm:recv_task	2.0	0.17	1943.81	12004.0	4.37
20000000	10000	2000	21	1	2	comm:scatter	0.45	451.6	0.0	1.0	0.99
20000000	10000	2000	21	1	2	comp:drift	7.84	3.92	3.87	2000.0	17.12
