parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
5000000	2500	2000	7	1	1	comm:recv_task	3.92	0.33	4229.97	12004.0	8.45
5000000	2500	2000	7	1	1	comm:scatter	0.11	107.43	0.0	1.0	0.25
5000000	2500	2000	7	1	1	comp:drift	4.42	2.21	21.23	2000.0	9.95
5000000	2500	2000	7	1	1	comp:histo	9.96	4.98	39.05	2000.0	22.52
5000000	2500	2000	7	1	1	comp:kick	18.43	9.21	16.73	2000.0	41.59
5000000	2500	2000	7	1	1	Other	0.27	271.87	0.0	1.0	0.61
5000000	2500	2000	7	1	1	total_time	44.45	44452.07	0.0	1.0	100.0
5000000	2500	2000	8	1	1	comm:bcast	0.38	0.06	60.83	6001.0	1.03
5000000	2500	2000	8	1	1	comm:gather	0.07	69.59	0.0	1.0	0.19
5000000	2500	2000	8	1	1	comm:histo_extra	6.88	3.44	46.7	2000.0	18.67
5000000	2500	2000	8	1	1	comm:recv_task	4.72	0.39	2949.09	12004.0	12.32
5000000	2500	2000	8	1	1	comm:scatter	0.1	103.77	0.0	1.0	0.28
5000000	2500	2000	8	1	1	comp:drift	3.45	1.73	13.38	2000.0	9.42
5000000	2500	2000	8	1	1	comp:histo	6.96	3.48	10.79	2000.0	19.04
5000000	2500	2000	8	1	1	comp:kick	14.09	7.05	10.76	2000.0	38.42
5000000	2500	2000	8	1	1	Other	0.23	229.71	0.0	1.0	0.63
5000000	2500	2000	8	1	1	total_time	36.88	36881.57	0.0	1.0	100.0
5000000	2500	2000	9	1	1	comm:bcast	0.59	0.1	1340.69	6001.0	2.0
5000000	2500	2000	9	1	1	comm:gather	0.04	42.16	0.0	1.0	0.14
5000000	2500	2000	9	1	1	comm:histo_extra	0.38	0.19	332.21	2000.0	1.27
5000000	2500	2000	9	1	1	comm:recv_task	4.04	0.34	5644.18	12004.0	12.94
5000000	2500	2000	9	1	1	comm:scatter	0.08	78.54	0.0	1.0	0.27
5000000	2500	2000	9	1	1	comp:drift	4.96	2.48	3.6	2000.0	16.75
